startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216726.876,5199920.896,195.490,216726.763,5199920.844,195.534,120,119,1724,2,0.012,0.132,0.00006,1.736
216726.763,5199920.844,195.534,216726.690,5199920.790,195.553,121,120,1724,2,0.011,0.092,0.00004,1.650
216726.690,5199920.790,195.553,216726.633,5199920.729,195.569,122,121,1724,2,0.011,0.085,0.00003,1.574
216727.226,5199921.042,195.441,216727.237,5199921.048,195.537,123,74,1,1,0.158,0.097,0.00756,18.806
216727.237,5199921.048,195.537,216727.247,5199921.052,195.633,124,123,1,1,0.158,0.097,0.00757,18.709
216727.247,5199921.052,195.633,216727.256,5199921.056,195.730,125,124,1,1,0.158,0.097,0.00758,18.612
216727.256,5199921.056,195.730,216727.263,5199921.060,195.826,126,125,1,1,0.160,0.097,0.00778,18.515
216727.263,5199921.060,195.826,216727.270,5199921.063,195.922,127,126,1,1,0.162,0.097,0.00797,18.419
216727.270,5199921.063,195.922,216727.276,5199921.068,196.019,128,127,1,1,0.161,0.097,0.00785,18.322
216727.276,5199921.068,196.019,216727.281,5199921.072,196.115,129,128,1,1,0.160,0.097,0.00775,18.226
216727.281,5199921.072,196.115,216727.286,5199921.074,196.211,130,129,1,1,0.162,0.097,0.00799,18.129
216727.286,5199921.074,196.211,216727.292,5199921.074,196.308,131,130,1,1,0.164,0.097,0.00820,18.032
216727.292,5199921.074,196.308,216727.299,5199921.071,196.404,132,131,1,1,0.163,0.096,0.00805,17.936
216727.299,5199921.071,196.404,216727.307,5199921.066,196.500,133,132,1,1,0.160,0.096,0.00777,17.839
216726.157,5199921.014,195.597,216726.144,5199921.029,195.689,134,117,3127,2,0.132,0.094,0.00512,17.089
216726.144,5199921.029,195.689,216726.130,5199921.043,195.779,135,134,3127,2,0.129,0.092,0.00482,16.994
216726.130,5199921.043,195.779,216726.115,5199921.055,195.869,136,135,3127,2,0.126,0.092,0.00460,16.903
216726.115,5199921.055,195.869,216726.099,5199921.065,195.962,137,136,3127,2,0.126,0.095,0.00471,16.812
216726.099,5199921.065,195.962,216726.085,5199921.073,196.058,138,137,3127,2,0.127,0.098,0.00494,16.715
216727.100,5199919.944,195.648,216726.750,5199919.946,195.625,139,95,3123,3,0.003,0.351,0.00001,0.058
216726.750,5199919.946,195.625,216726.692,5199919.951,195.621,140,139,3123,3,0.002,0.058,0.00000,0.000
216726.690,5199920.790,195.553,216726.608,5199920.937,195.597,141,121,1734,3,0.002,0.173,0.00000,0.000
216726.633,5199920.729,195.569,216726.578,5199920.673,195.592,142,122,1724,2,0.010,0.082,0.00003,1.495
216726.578,5199920.673,195.592,216726.514,5199920.622,195.618,143,142,1724,2,0.010,0.086,0.00003,1.410
216726.514,5199920.622,195.618,216726.447,5199920.569,195.640,144,143,1724,2,0.009,0.089,0.00002,1.321
216727.099,5199919.907,195.936,216727.256,5199919.937,195.951,145,98,3116,3,0.009,0.161,0.00004,1.324
216727.256,5199919.937,195.951,216727.355,5199919.968,195.952,146,145,3116,3,0.008,0.104,0.00002,1.212
216726.633,5199920.729,195.569,216726.682,5199920.850,195.726,147,122,1732,3,0.004,0.204,0.00001,0.366
216726.682,5199920.850,195.726,216726.419,5199920.817,195.897,148,147,1733,4,0.002,0.316,0.00001,0.000
216726.682,5199920.850,195.726,216726.750,5199920.936,195.811,149,147,1732,3,0.003,0.139,0.00000,0.217
216726.447,5199920.569,195.640,216726.378,5199920.528,195.667,150,144,1724,2,0.009,0.084,0.00002,1.229
216726.378,5199920.528,195.667,216726.300,5199920.532,195.722,151,150,1724,2,0.008,0.095,0.00002,1.146
216726.300,5199920.532,195.722,216726.220,5199920.543,195.783,152,151,1724,2,0.007,0.102,0.00002,1.052
216726.220,5199920.543,195.783,216726.163,5199920.495,195.797,153,152,1724,2,0.006,0.077,0.00001,0.896
216726.163,5199920.495,195.797,216726.132,5199920.407,195.771,154,153,1724,2,0.006,0.097,0.00001,0.751
216726.447,5199920.569,195.640,216726.472,5199920.473,195.618,155,144,1730,3,0.005,0.101,0.00001,0.756
216726.472,5199920.473,195.618,216726.475,5199920.388,195.601,156,155,1730,3,0.005,0.086,0.00001,0.676
216726.475,5199920.388,195.601,216726.473,5199920.305,195.585,157,156,1730,3,0.005,0.085,0.00001,0.592
216726.473,5199920.305,195.585,216726.462,5199920.223,195.575,158,157,1730,3,0.004,0.083,0.00000,0.512
216726.462,5199920.223,195.575,216726.448,5199920.141,195.570,159,158,1730,3,0.004,0.084,0.00000,0.428
216726.448,5199920.141,195.570,216726.429,5199920.059,195.571,160,159,1730,3,0.004,0.084,0.00000,0.344
216726.429,5199920.059,195.571,216726.407,5199919.978,195.578,161,160,1730,3,0.003,0.084,0.00000,0.259
216726.407,5199919.978,195.578,216726.385,5199919.896,195.589,162,161,1730,3,0.003,0.085,0.00000,0.173
